北京市C\西城区D\富华南路1586号1层A\ O\Kiki yangR\0592-2952636T\
北京C\西城区D\沂河路与沃尔沃路交汇处南500米路西A\ O\Kiki yangR\84776739T\
北京C\西城区D\顺河镇顺昌路81号A\ O\Kiki yangR\010-80712719T\
北京市C\西城D\枣园镇小枣沟头村A\ O\Kiki yangR\15010755189T\
北京市C\西城D\林山乡詹村村65号A\ O\Kiki yangR\0311-66561020T\
北京C\西城D\沛屯大道东侧金凤凰装饰城15#22号A\ O\Kiki yangR\56036480T\
北京C\西城D\龙潭总部经济城汇润国际2号楼13楼1306号A\ O\Kiki yangR\0755-22919780T\
LinaR\0371-58508009T\ O\北京市C\朝阳区D\槐店镇吉祥东路A\
董凌R\010-56308089T\ O\贵州省P\毕节C\织金D\中国临沂商城电子商务交易中心（创业大厦）2号楼808A\
董凌R\87666875T\ O\贵州P\毕节C\织金D\桂云花乡桂云花村任屯A\
贵州P\毕节市C\纳雍县D\白关镇白关村刘家组刘啸私宅A\ O\丰亮亮R\010-52725279T\
贵州省P\毕节C\纳雍县D\南山路10号12幢3单元312室A\ O\丰亮亮R\13526585771T\
贵州P\毕节C\纳雍县D\中联大厦1-1610号A\ O\丰亮亮R\010-88110620T\
贵州省P\毕节市C\纳雍D\刘集乡甘罗回族村穆岗60号A\ O\丰亮亮R\010-84675656T\
贵州P\毕节市C\纳雍D\伙牌镇下冯村一组A\ O\丰亮亮R\025-66677777T\
贵州省P\毕节C\纳雍D\小溪坝镇神农河三组A\ O\丰亮亮R\59007788T\
贵州P\毕节C\纳雍D\小南关街2里1号A\ O\丰亮亮R\010-84661717T\
王建伟R\0573-89268523T\ O\贵州P\毕节市C\威宁彝族回族苗族自治县D\美德路19号14-3A\
王建伟R\010-57837888-8026T\ O\贵州省P\毕节C\威宁彝族回族苗族自治县D\东舜花园B3栋13层1401室A\
王建伟R\4099086T\ O\贵州P\毕节C\威宁彝族回族苗族自治县D\石井坡216号附91号4-2A\
王建伟R\010-52668763T\ O\贵州省P\毕节市C\威宁县D\下关镇万花路下段439号附1号A\
王建伟R\010-62515236T\ O\贵州P\毕节市C\威宁县D\北辛街道善国北路北楼西巷27号（原龙泉路1巷36号）A\
王建伟R\31659600T\ O\贵州省P\毕节C\威宁县D\桐梓林北街10号23栋2楼1号A\
王建伟R\0755-21199888T\ O\贵州P\毕节C\威宁县D\海富路9-1号4452室A\
贵州P\毕节市C\赫章县D\梅山大道商务中心十一号办公楼3161室A\ O\王小波R\010-59534290T\
贵州省P\毕节C\赫章县D\褚墩镇东卜庄村A\ O\王小波R\65088272T\
贵州P\毕节C\赫章县D\太白南路39号金石柏朗第1幢1单元19层11904室-AA\ O\王小波R\021-34679368T\
贵州省P\毕节市C\赫章D\侯家种养农民专业合作社A\ O\王小波R\021-80318388T\
贵州P\毕节市C\赫章D\澧源镇文明路,气象局）A\ O\王小波R\18604781910T\
贵州省P\毕节C\赫章D\新风路195号一层A\ O\王小波R\021-64224530T\
贵州P\毕节C\赫章D\睦洲镇新沙村民委员会晨字围A\ O\王小波R\021-67877750T\
李清R\0991-3767484T\ O\贵州P\铜仁市C\碧江区D\新塘镇东坑四横路40号201房（自主申报）A\
李清R\010-59344754T\ O\贵州省P\铜仁C\碧江区D\濉溪路１４０号１１幢５０８室A\
李清R\010-53606288T\ O\贵州P\铜仁C\碧江区D\叶家红埠寺村解放路北侧A\
李清R\18620608962T\ O\贵州省P\铜仁市C\碧江D\桃花街50号内10号A\
李清R\010-88875888T\ O\贵州P\铜仁市C\碧江D\泾渭镇泾渭东路群贤北府1-107号A\
李清R\021-31651626T\ O\贵州省P\铜仁C\碧江D\白马环球港商铺8＃118铺、119铺、136铺、235铺、236铺A\
李清R\021-80235566T\ O\贵州P\铜仁C\碧江D\平原路与弦歌大道交汇处华强新天地3号楼1单元403室A\
贵州P\铜仁市C\万山区D\雁塔西路郝佳花园中单元1803室A\ O\赵文R\010-84417818T\
贵州省P\铜仁C\万山区D\程集镇贾庄村朱庄45户A\ O\赵文R\0573-87376637T\
贵州P\铜仁C\万山区D\天津路19号美伦凤凰城6栋7层A\ O\赵文R\0316-2186992T\
贵州省P\铜仁市C\万山D\锦江街100号1412室A\ O\赵文R\65088272T\
贵州P\铜仁市C\万山D\堠北庄镇蒋村西二环路东A\ O\赵文R\010-8215 1148T\
贵州省P\铜仁C\万山D\大马乡任营村A\ O\赵文R\010-8215 1148T\
贵州P\铜仁C\万山D\重庆中路903号9号楼1单元2101户A\ O\赵文R\010-88310496T\
王建富R\010-80729990T\ O\贵州P\铜仁市C\江口县D\东大街南侧茂源国际公寓北向8层东17号房A\
王建富R\021-63933333T\ O\贵州省P\铜仁C\江口县D\鲁磨路6号置业楼207室A\
王建富R\021-63224133T\ O\贵州P\铜仁C\江口县D\金带街938号金华电子商务创业园418室A\
王建富R\62520088T\ O\贵州省P\铜仁市C\江口D\东城镇新华中路183号201房A\
王建富R\010-87166998T\ O\贵州P\铜仁市C\江口D\黄坭乡三溪村一社A\
王建富R\010-51816629T\ O\贵州省P\铜仁C\江口D\曼哈顿广场20#铺101.201.202A\
王建富R\0999-8790867T\ O\贵州P\铜仁C\江口D\礼乐礼德街8号115-119A\
贵州P\铜仁市C\玉屏侗族自治县D\光辉大厦不分单元914号A\ O\李时芳R\82731218T\
贵州省P\铜仁C\玉屏侗族自治县D\塔东路与米兰街交叉口路西A\ O\李时芳R\0898-68716117T\
贵州P\铜仁C\玉屏侗族自治县D\南湖南路222号南湖小高层商住楼1栋1层商铺1号B-4014号A\ O\李时芳R\69205616T\
贵州省P\铜仁市C\玉屏县D\乌金山镇流村西大街1号A\ O\李时芳R\010-53389869T\
贵州P\铜仁市C\玉屏县D\太平镇太平街868号A\ O\李时芳R\02583338889T\
贵州省P\铜仁C\玉屏县D\零溪镇朝阳村15组A\ O\李时芳R\89448259T\
贵州P\铜仁C\玉屏县D\吴都大道北侧迎宾大道东侧莲花中央广场5号楼2单元2604号房A\ O\李时芳R\010-58618773T\
蔡中文R\0595-85199999T\ O\贵州P\铜仁市C\石阡县D\李子坝正街166号附3号30-8#A\
蔡中文R\0471-7292576T\ O\贵州省P\铜仁C\石阡县D\民族大道170号莱茵湖畔D组团D6号楼2单元306号A\
蔡中文R\138 8510 3895T\ O\贵州P\铜仁C\石阡县D\兰干乡双渠村A\
蔡中文R\62520088T\ O\贵州省P\铜仁市C\石阡D\长河街道办事处三八东路1266号（泰和鑫源国际4层-4264号）A\
蔡中文R\8010-62416170T\ O\贵州P\铜仁市C\石阡D\黄河六路渤海十八路山东房投置业广场银泰中心C座17楼A\
蔡中文R\010-59432786T\ O\贵州省P\铜仁C\石阡D\太平镇李白大道南二段3号中润恒大国际商贸城24栋1楼121号A\
蔡中文R\010-52321686T\ O\贵州P\铜仁C\石阡D\沈村镇胡村回族村东阳组（留置学校内）A\
贵州P\铜仁市C\思南县D\北京街19-1号（1-4-6室）A\ O\孙红霞xR\010-51057005T\
贵州省P\铜仁C\思南县D\滨河大道69号龙庭山水一期15号A\ O\孙红霞xR\83012883T\
贵州P\铜仁C\思南县D\草尾镇三星村A\ O\孙红霞xR\020-85539127T\
贵州省P\铜仁市C\思南D\丹霞路新城花园5幢103室A\ O\孙红霞xR\010-85764306T\
贵州P\铜仁市C\思南D\杨庄街办十里庙村村委会A\ O\孙红霞xR\010-84161961T\
贵州省P\铜仁C\思南D\西安大路吉发广场A座502室A\ O\孙红霞xR\010-58211491T\
贵州P\铜仁C\思南D\董公寺汇川国际温泉旅游城一期2号楼1-27-1号A\ O\孙红霞xR\01051581043T\
陈姿如R\010-65533775T\ O\贵州P\铜仁市C\印江土家族苗族自治县D\会城高第街12号102A\
陈姿如R\020-38891740T\ O\贵州省P\铜仁C\印江土家族苗族自治县D\大学城西路17号虎溪花园74幢1-1A\
陈姿如R\010-51816629T\ O\贵州P\铜仁C\印江土家族苗族自治县D\高峰镇高望界林场场部A\
陈姿如R\13823728353T\ O\贵州省P\铜仁市C\印江县D\沂蒙路与滨河大道交汇处西南侧中德华尔兹第A号楼2802号A\
陈姿如R\010-88177653T\ O\贵州P\铜仁市C\印江县D\青竹湖街道大安村149号A\
陈姿如R\0756-8996261T\ O\贵州省P\铜仁C\印江县D\纸坊街熊廷弼路鸿发·世纪城1幢1/2层111号A\
陈姿如R\0557-3665757T\ O\贵州P\铜仁C\印江县D\兴城大道1955号成都（北部商城）西部国际家电交易中心2幢2单元22层5号A\
贵州P\铜仁市C\德江县D\青山铺镇天华村大屋场组A\ O\史小平R\027-84555200T\
贵州省P\铜仁C\德江县D\江南街道五里牌楼路62弄17号A\ O\史小平R\010-88310496T\
贵州P\铜仁C\德江县D\易俗河镇凤凰中路凯旋国际广场10楼1031、1033号A\ O\史小平R\010-64013511T\
贵州省P\铜仁市C\德江D\沱江镇桔园路510号A\ O\史小平R\68033232-8007T\
贵州P\铜仁市C\德江D\丁伙镇锦东村振兴路北A\ O\史小平R\010 87276615T\
贵州省P\铜仁C\德江D\新宇路西侧世纪财富中心AB座30801室24号工位A\ O\史小平R\022-88278000T\
贵州P\铜仁C\德江D\前当堡镇蒲河大街92号A\ O\史小平R\88420860T\
侯廷超R\021-80318388T\ O\贵州P\铜仁市C\沿河土家族自治县D\武康街道五里牌路70号2002室A\
侯廷超R\65725316T\ O\贵州省P\铜仁C\沿河土家族自治县D\伊犁州霍尔果斯口岸滨河路3号楼1楼13号A\
侯廷超R\010-60278906T\ O\贵州P\铜仁C\沿河土家族自治县D\广州中新广州知识城九佛建设路333号163室A\
侯廷超R\010-60590315T\ O\贵州省P\铜仁市C\沿河土家族自治D\浦东街3号1层102室-421工位A\
侯廷超R\010-56308089T\ O\贵州P\铜仁市C\沿河土家族自治D\丽岙街道温瑞路41号A\
侯廷超R\18768113050T\ O\贵州省P\铜仁C\沿河土家族自治D\沙河中路吉祥家园2号楼602户A\
侯廷超R\021-52720057T\ O\贵州P\铜仁C\沿河土家族自治D\寮步镇凫山村莞樟路453号三楼A\
贵州P\铜仁市C\松桃苗族自治县D\星沙街道山水人家2栋103号A\ O\谢松涛R\010-59327388T\
贵州省P\铜仁C\松桃苗族自治县D\朝阳街248号4-1304号A\ O\谢松涛R\84776739T\
贵州P\铜仁C\松桃苗族自治县D\文昌路41号13栋801A\ O\谢松涛R\0592-2952636T\
贵州省P\铜仁市C\松桃县D\大观商城二期二层A\ O\谢松涛R\025-58865160T\
贵州P\铜仁市C\松桃县D\海龙镇新场村新华组A\ O\谢松涛R\63334580T\
贵州省P\铜仁C\松桃县D\华兴街道祝融路57号衡府16栋2单元1704室A\ O\谢松涛R\025-51885765T\
贵州P\铜仁C\松桃县D\迎宾街西侧四甫综合楼4号楼A\ O\谢松涛R\0571 88069272T\
卡地尔·阿布都扎依尔R\31659600T\ O\贵州P\黔西南布依族苗族自治州C\兴义市D\韶山北路431号瑞府1445房A\
卡地尔·阿布都扎依尔R\0755-86013388T\ O\贵州省P\黔西南州C\兴义市D\华兴路陈庄工业园18号A\
卡地尔·阿布都扎依尔R\0311-89659288T\ O\贵州P\黔西南州C\兴义市D\天山南路二段167号A栋1-6-2号A\
卡地尔·阿布都扎依尔R\84976866T\ O\贵州省P\黔西南布依族苗族自治州C\兴义D\西湖镇司徒北苑北路117号A\
卡地尔·阿布都扎依尔R\0433-5923888T\ O\贵州P\黔西南布依族苗族自治州C\兴义D\正午镇田楼村部对面A\
卡地尔·阿布都扎依尔R\020-87347778T\ O\贵州省P\黔西南州C\兴义D\万家丽中路一段318号西子商业中心（西子花苑）B栋1408房A\
卡地尔·阿布都扎依尔R\4099086T\ O\贵州P\黔西南州C\兴义D\平阳镇包家村委会包家村包家二队平礼儿坡地A\
贵州P\黔西南布依族苗族自治州C\兴仁市D\锦华中园27-3号A\ O\吴淑娟R\13510208015T\
贵州省P\黔西南州C\兴仁市D\湘西金矿上沃溪8栋A\ O\吴淑娟R\021-68581393T\
贵州P\黔西南州C\兴仁市D\夹浦镇丁新村7号楼5号A\ O\吴淑娟R\87632836T\
贵州省P\黔西南布依族苗族自治州C\兴仁D\向阳镇向阳村百发机械制造产业园6号仓库东跨A\ O\吴淑娟R\65919720T\
贵州P\黔西南布依族苗族自治州C\兴仁D\建新路5号新华园1幢905室A\ O\吴淑娟R\87739336T\
贵州省P\黔西南州C\兴仁D\新民路南3幢3、4号A\ O\吴淑娟R\84776739T\
贵州P\黔西南州C\兴仁D\龙泉镇九栋碑村村委会A\ O\吴淑娟R\89996661T\
刘楷R\023-88960686T\ O\贵州P\黔西南布依族苗族自治州C\普安县D\横荷青山村委会向南村（清三公路旁的双造水田）A\
刘楷R\13511081288T\ O\贵州省P\黔西南州C\普安县D\富春江路91号三楼北首A\
刘楷R\18768113050T\ O\贵州P\黔西南州C\普安县D\前兴路大商汇商贸中心92幢第1-3层28号商铺A\
刘楷R\010-85525912T\ O\贵州省P\黔西南布依族苗族自治州C\普安D\嘉罗公路1661弄12号101室J80A\
刘楷R\0557-3665757T\ O\贵州P\黔西南布依族苗族自治州C\普安D\华佗镇黄庄行政村吕店村49号A\
刘楷R\15320171707T\ O\贵州省P\黔西南州C\普安D\观堂乡杨圩村A\
刘楷R\0571-56707047T\ O\贵州P\黔西南州C\普安D\隽水镇续畈新村八巷二号A\
贵州P\黔西南布依族苗族自治州C\晴隆县D\东葛路118号南宁青秀万达广场东9栋-B101A\ O\范邵禹R\18610461445T\
贵州省P\黔西南州C\晴隆县D\西潘楼镇五里村潘五路南侧五里新村A\ O\范邵禹R\57801214T\
贵州P\黔西南州C\晴隆县D\七河路标准厂房4号楼6楼A\ O\范邵禹R\022-88278000T\
贵州省P\黔西南布依族苗族自治州C\晴隆D\龙岭工业园石头铺村319国道旁A\ O\范邵禹R\0731-88661888T\
贵州P\黔西南布依族苗族自治州C\晴隆D\（菁蓉镇）大禹东路9号3楼328室A\ O\范邵禹R\010-58211491T\
贵州省P\黔西南州C\晴隆D\栗雨东路栗雨城香山美境15号楼504号A\ O\范邵禹R\0311-89659288T\
贵州P\黔西南州C\晴隆D\蒲州街道兴安路69号创意设计园B幢101室A\ O\范邵禹R\0551-65196295T\
焦文虎R\57801214T\ O\贵州P\黔西南布依族苗族自治州C\贞丰县D\沸水新华村文昌街127号A\
焦文虎R\53657722T\ O\贵州省P\黔西南州C\贞丰县D\葭沚街道富强路160-46号A\
焦文虎R\13832111565T\ O\贵州P\黔西南州C\贞丰县D\长虹街道新兴南路新兴花园4栋501房A\
焦文虎R\010-57913678T\ O\贵州省P\黔西南布依族苗族自治州C\贞丰D\白沙路街道华星黄金大厦(19-3)室1907号A\
焦文虎R\0351-7773014T\ O\贵州P\黔西南布依族苗族自治州C\贞丰D\永红街道新华村委沈家村A\
焦文虎R\021-52120775T\ O\贵州省P\黔西南州C\贞丰D\五一路199号3幢31层3101号A\
焦文虎R\18610461445T\ O\贵州P\黔西南州C\贞丰D\慎城镇中山路99号5栋A\
贵州P\黔西南布依族苗族自治州C\望谟县D\万家丽中路二段539号万科金域华府10栋、11栋-115房A\ O\胡开全R\010-56380995T\
贵州省P\黔西南州C\望谟县D\北河湾路57号2幢12号A\ O\胡开全R\010-57208883T\
贵州P\黔西南州C\望谟县D\会城冈州大道中36号113-3A\ O\胡开全R\022-28268666T\
贵州省P\黔西南布依族苗族自治州C\望谟D\桂田大道陆路物流港12#-15A\ O\胡开全R\0991-3767484T\
贵州P\黔西南布依族苗族自治州C\望谟D\高铁大道伍桥还建楼3栋4单元1403号A\ O\胡开全R\60561788T\
贵州省P\黔西南州C\望谟D\水东镇虔东大道90号时间公园E25栋502室A\ O\胡开全R\81804193T\
贵州P\黔西南州C\望谟D\育塅乡石冲村梅江组A\ O\胡开全R\0311-85855042T\
吴晓艳R\0731-55581111T\ O\贵州P\黔西南布依族苗族自治州C\册亨县D\土黄镇百堰村5组A\
吴晓艳R\63220808T\ O\贵州省P\黔西南州C\册亨县D\雅畈镇上六村A\
吴晓艳R\66839914T\ O\贵州P\黔西南州C\册亨县D\蒲州街道文昌路209号A幢718A室A\
吴晓艳R\0755-26958189T\ O\贵州省P\黔西南布依族苗族自治州C\册亨D\丈八西路高科摩卡公寓3号楼一单元2710A\
吴晓艳R\57111515T\ O\贵州P\黔西南布依族苗族自治州C\册亨D\国际企业中心B16号楼9层2#办公A\
吴晓艳R\021-63933333T\ O\贵州省P\黔西南州C\册亨D\乌珠塘村第九组A\
吴晓艳R\010-85699999T\ O\贵州P\黔西南州C\册亨D\解放南路名都公寓2号楼3门201A\
贵州P\黔西南布依族苗族自治州C\安龙县D\红旗北路潘家冲3栋601号A\ O\陆本泉R\65515358T\
贵州省P\黔西南州C\安龙县D\民院路38号龙安港汇城A单元8层06室A\ O\陆本泉R\021-63933333T\
贵州P\黔西南州C\安龙县D\池淮镇星华路29号A\ O\陆本泉R\021-54846663T\
贵州省P\黔西南布依族苗族自治州C\安龙D\高新科技园汇景豪苑海逸阁24AA\ O\陆本泉R\0999-8790867T\
贵州P\黔西南布依族苗族自治州C\安龙D\武康街道中兴南路337-2号A\ O\陆本泉R\85728406T\
贵州省P\黔西南州C\安龙D\西马园四巷16号A\ O\陆本泉R\010-85132114T\
贵州P\黔西南州C\安龙D\三塔镇三塔行政村A\ O\陆本泉R\65919720T\
吴佩R\59067777T\ O\贵州P\黔东南苗族侗族自治州C\凯里市D\双浦镇板桥村288号210室A\
吴佩R\010-64401938T\ O\贵州省P\黔东南州C\凯里市D\农业路与政七街省汇中心A座1506号A\
吴佩R\021-34679368T\ O\贵州P\黔东南州C\凯里市D\国贸大厦B座714室A\
吴佩R\021-68780259T\ O\贵州省P\黔东南苗族侗族自治州C\凯里D\雨敞坪镇麻田村新屋湾村民组邹志明私宅A\
吴佩R\85654257T\ O\贵州P\黔东南苗族侗族自治州C\凯里D\玉蟾路3号金源城金源悦府38号楼101号A\
吴佩R\82781919T\ O\贵州省P\黔东南州C\凯里D\东岳路街道永胜村东风东路39号A\
吴佩R\0755-21199888T\ O\贵州P\黔东南州C\凯里D\石排镇庙边王村王仲铭大道兴隆一路7巷5号A\
贵州P\黔东南苗族侗族自治州C\黄平县D\盛庄街道湖东路与教育巷交汇处A\ O\曹旭R\56037666T\
贵州省P\黔东南州C\黄平县D\明瑜恒康佳苑134号附5号A\ O\曹旭R\56036480T\
贵州P\黔东南州C\黄平县D\团结西路南侧A\ O\曹旭R\010-87189485T\
贵州省P\黔东南苗族侗族自治州C\黄平D\杨汛桥镇上孙居委会A\ O\曹旭R\15320171707T\
贵州P\黔东南苗族侗族自治州C\黄平D\恒鑫建材城恒鑫酒店3号室A\ O\曹旭R\13701949900T\
贵州省P\黔东南州C\黄平D\望城坡街道商贸城D-14栋10缝A\ O\曹旭R\01051518056T\
贵州P\黔东南州C\黄平D\经开路3号昆明科技创新园2F10-6室A\ O\曹旭R\52926669T\
兰天翔R\84776739T\ O\贵州P\黔东南苗族侗族自治州C\施秉县D\建设东路龙舟国际商业街7幢112号A\
兰天翔R\021-64826169T\ O\贵州省P\黔东南州C\施秉县D\河子西乡小东庄村A\
兰天翔R\021-61870500T\ O\贵州P\黔东南州C\施秉县D\东关街道办事处仙桥三组A\
兰天翔R\010-84318380T\ O\贵州省P\黔东南苗族侗族自治州C\施秉D\营江街道办新屋村A\
兰天翔R\010-62870300T\ O\贵州P\黔东南苗族侗族自治州C\施秉D\张皇路北安河村东200米路北A\
兰天翔R\028-87436209T\ O\贵州省P\黔东南州C\施秉D\梅岭街道世纪大道668号锦绣广场9号楼0401A\
兰天翔R\010-51660200T\ O\贵州P\黔东南州C\施秉D\金浦路7号世纪商都0803号房A\
贵州P\黔东南苗族侗族自治州C\三穗县D\范岗镇范岗居委会范青路壹号公馆608A\ O\吉林R\020-32030534T\
贵州省P\黔东南州C\三穗县D\振海南路165-6A\ O\吉林R\56037666T\
贵州P\黔东南州C\三穗县D\杨兴乡水头村（385号）A\ O\吉林R\18616883982T\
贵州省P\黔东南苗族侗族自治州C\三穗D\南康镇三塘村委三塘加油站往东100米A\ O\吉林R\021-52720057T\
贵州P\黔东南苗族侗族自治州C\三穗D\唐昌镇青春村8组35号A\ O\吉林R\23784462T\
贵州省P\黔东南州C\三穗D\前当堡镇蒲河大街92号A\ O\吉林R\0563-4024888T\
贵州P\黔东南州C\三穗D\庐山路69号庐山恋11栋105室A\ O\吉林R\010-83030601T\
钟垒R\010-63726121T\ O\贵州P\黔东南苗族侗族自治州C\镇远县D\江会路24号正平科技大厦二楼A08室A\
钟垒R\025-68158438T\ O\贵州省P\黔东南州C\镇远县D\渝州路4号19-1号A\
钟垒R\0551-65196295T\ O\贵州P\黔东南州C\镇远县D\宣府大街77号院A\
钟垒R\19828941817T\ O\贵州省P\黔东南苗族侗族自治州C\镇远D\国际商贸城79栋1号A\
钟垒R\010-62247258T\ O\贵州P\黔东南苗族侗族自治州C\镇远D\草尾镇三星村A\
钟垒R\010-86207790T\ O\贵州省P\黔东南州C\镇远D\万新街道登州路翠海佳园5号楼1401号A\
钟垒R\010-84676258T\ O\贵州P\黔东南州C\镇远D\抚宁镇东斜街25号A\
贵州P\黔东南苗族侗族自治州C\岑巩县D\黄河大道北侧鑫源花园29#-001A\ O\陶良富R\010-80729990T\
贵州省P\黔东南州C\岑巩县D\淮河大道与薄山路交叉口西南侧华尔大厦19号楼2014号房间A\ O\陶良富R\85564668T\
贵州P\黔东南州C\岑巩县D\丰泽东路106号A\ O\陶良富R\010-86207790T\
贵州省P\黔东南苗族侗族自治州C\岑巩D\朝阳路9号步行街广场7楼717号房A\ O\陶良富R\31659600T\
贵州P\黔东南苗族侗族自治州C\岑巩D\羊角塘镇回龙村十三组A\ O\陶良富R\15801153746T\
贵州省P\黔东南州C\岑巩D\渌口镇油圳村金马组A\ O\陶良富R\020-38891740T\
贵州P\黔东南州C\岑巩D\岳家桥镇鸾凤山村A\ O\陶良富R\0753-3391313T\
汪宇R\0316-2186992T\ O\贵州P\黔东南苗族侗族自治州C\天柱县D\玉城街道环礁村A\
汪宇R\010-85132114T\ O\贵州省P\黔东南州C\天柱县D\珠江路电子产业园A栋3楼A\
汪宇R\81804193T\ O\贵州P\黔东南州C\天柱县D\北山农工商总公司松坡路五段20-2号A\
汪宇R\022-88278000T\ O\贵州省P\黔东南苗族侗族自治州C\天柱D\晋阳街84号宏安国际大厦14层（入驻山西双创企业孵化器服务有限公司032号A\
汪宇R\010-80712719T\ O\贵州P\黔东南苗族侗族自治州C\天柱D\长治路251号瑞杰科技中心A座909室A\
汪宇R\010-65227367T\ O\贵州省P\黔东南州C\天柱D\白关镇宋家湾村白露塘组19号A\
汪宇R\13121549717T\ O\贵州P\黔东南州C\天柱D\南环路西侧鸿铭大厦1幢1单元16层2号A\
贵州P\黔东南苗族侗族自治州C\锦屏县D\密庄村191号A\ O\王周庆R\0433-5923888T\
贵州省P\黔东南州C\锦屏县D\中国医药城口泰路东侧、新阳路北侧0006幢G26三层东侧.A\ O\王周庆R\0471-7292576T\
贵州P\黔东南州C\锦屏县D\育才路99号-5室A\ O\王周庆R\010-59725618T\
贵州省P\黔东南苗族侗族自治州C\锦屏D\明秀东路88号荣和·山水绿城B1组团2号楼A座9-E号A\ O\王周庆R\010-83030601T\
贵州P\黔东南苗族侗族自治州C\锦屏D\邮政局附属房A\ O\王周庆R\13760647882T\
贵州省P\黔东南州C\锦屏D\汉源大道东侧新源雅居门面B号楼1单元020室A\ O\王周庆R\010-60278906T\
贵州P\黔东南州C\锦屏D\张滩镇张滩村七组A\ O\王周庆R\010-60505887T\
储国庆R\0311-85338931T\ O\贵州P\黔东南苗族侗族自治州C\剑河县D\铜山岭农场河渊村十组329号A\
储国庆R\02866070293T\ O\贵州省P\黔东南州C\剑河县D\黄河四路365号德坤-华府11号楼103号A\
储国庆R\63334580T\ O\贵州P\黔东南州C\剑河县D\海陵北路288号六幢0813室A\
储国庆R\021-64224530T\ O\贵州省P\黔东南苗族侗族自治州C\剑河D\席王街道梁家街村103号A\
储国庆R\18768113050T\ O\贵州P\黔东南苗族侗族自治州C\剑河D\大泽镇大泽墟中心街西1号116、117、207-1A\
储国庆R\010-85699999T\ O\贵州省P\黔东南州C\剑河D\文化东路51号汇东星座730A\
储国庆R\021-54846663T\ O\贵州P\黔东南州C\剑河D\干江镇梅岭村欢宾路A\
贵州P\黔东南苗族侗族自治州C\台江县D\工业街甲4号A\ O\陶波R\18604781910T\
贵州省P\黔东南州C\台江县D\山大南路15号融和大厦207室A\ O\陶波R\010-64789069T\
贵州P\黔东南州C\台江县D\东海大街太古广场三期5号楼1915室A\ O\陶波R\010-81776318T\
贵州省P\黔东南苗族侗族自治州C\台江D\育德街5号103室A\ O\陶波R\62520088T\
贵州P\黔东南苗族侗族自治州C\台江D\华夏大厦1205号房A\ O\陶波R\0311-85855042T\
贵州省P\黔东南州C\台江D\奔月路73号A\ O\陶波R\0316-2186992T\
贵州P\黔东南州C\台江D\红缨路1号天金大厦806室A\ O\陶波R\021-61093880T\
叶文R\01081745701T\ O\贵州P\黔东南苗族侗族自治州C\黎平县D\金砂路102号乙栋1201房b单元A\
叶文R\01051050575T\ O\贵州省P\黔东南州C\黎平县D\圣惠北路明珠巷北一巷鑫瑶公寓503室A\
叶文R\027-84555200T\ O\贵州P\黔东南州C\黎平县D\刘集乡三优集村夏杨路A\
叶文R\53657722T\ O\贵州省P\黔东南苗族侗族自治州C\黎平D\玫瑰路101号玫瑰名城丁香苑1、2、3栋115号门面A\
叶文R\0356-4814999T\ O\贵州P\黔东南苗族侗族自治州C\黎平D\金科.10年城54号9-4A\
叶文R\029-89287860T\ O\贵州省P\黔东南州C\黎平D\华强北街道华强北电子科技大厦A座2068A\
叶文R\010-58331888T\ O\贵州P\黔东南州C\黎平D\昆明本贝经济信息咨询有限公司A\
贵州P\黔东南苗族侗族自治州C\榕江县D\鱼斗路付233号临街商铺A\ O\周小虎R\010-84917399T\
贵州省P\黔东南州C\榕江县D\洪山文创园尚之坊创意园2#11962AA\ O\周小虎R\010-84782665T\
贵州P\黔东南州C\榕江县D\昆山西路83-4号(1-32-1)A\ O\周小虎R\010-82101750T\
贵州省P\黔东南苗族侗族自治州C\榕江D\青原大道东侧合济春天56栋1-602号A\ O\周小虎R\025-66677777T\
贵州P\黔东南苗族侗族自治州C\榕江D\老冢镇港李村A\ O\周小虎R\021-68581393T\
贵州省P\黔东南州C\榕江D\西四路东1幢1层2层A\ O\周小虎R\029-89287860T\
贵州P\黔东南州C\榕江D\南谯北路740号（世纪商业园）1幢103室A\ O\周小虎R\0898-68716117T\
杨育杰R\0531-82608889T\ O\贵州P\黔东南苗族侗族自治州C\从江县D\淳溪镇宝塔路269号红太阳红太阳财智广场2幢A\
杨育杰R\010-67802566T\ O\贵州省P\黔东南州C\从江县D\火炬二路168号金域天下二期12栋1303号A\
杨育杰R\18815284313T\ O\贵州P\黔东南州C\从江县D\社湾路13－59号A\
杨育杰R\010-51057005T\ O\贵州省P\黔东南苗族侗族自治州C\从江D\南坪西路３２号２５幢A\
杨育杰R\18210549929T\ O\贵州P\黔东南苗族侗族自治州C\从江D\蟠龙镇宝峰村14、21、22组A\
杨育杰R\13823728353T\ O\贵州省P\黔东南州C\从江D\珠海路万豪国际写字楼D栋写字楼25-2号A\
杨育杰R\18613812851T\ O\贵州P\黔东南州C\从江D\高新二路瑞吉大厦7层10701-7044A\
贵州P\黔东南苗族侗族自治州C\雷山县D\渌口镇樟树园A\ O\单信端R\18604781910T\
贵州省P\黔东南州C\雷山县D\思贤路46号10幢1单元6-2A\ O\单信端R\010-59108001T\
贵州P\黔东南州C\雷山县D\新湖街道办事处东方红路城隍庙商城A座3层3065号A\ O\单信端R\84976866T\
贵州省P\黔东南苗族侗族自治州C\雷山D\解放道8号1-5-111号A\ O\单信端R\01051050575T\
